id_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,latitude,longitude,type_local,arrondissement,price_per_m2,distance_to_center,neighborhood_cluster,month
2024-1182384,516000.0,57.0,3.0,75019,48.884442,2.381841,Appartement,19,9052.631578947368,4.200865417412913,8,1
2024-1182385,195110.0,18.0,1.0,75018,48.891687,2.346297,Appartement,18,10839.444444444443,4.31031489159704,0,1
2024-1182386,487000.0,49.0,3.0,75018,48.887346,2.348686,Appartement,18,9938.77551020408,3.8203100039553375,0,1
2024-1182389,1450000.0,75.0,4.0,75018,48.887868,2.33558,Appartement,18,19333.33333333333,4.018034207384394,4,1
2024-1182390,607750.0,68.0,3.0,75017,48.889513,2.305891,Appartement,17,8937.5,5.185718979639273,9,1
2024-1182391,365000.0,26.0,2.0,75009,48.882453,2.344879,Appartement,9,14038.46153846154,3.2963747133037304,0,1
2024-1182393,284580.0,35.0,2.0,75019,48.887012,2.368434,Appartement,19,8130.857142857143,4.015106444257799,0,1
2024-1182395,11500.0,70.0,3.0,75020,48.849382,2.408636,Appartement,20,164.28571428571428,4.309108180953717,2,1
2024-1182396,315000.0,23.0,2.0,75004,48.855137,2.362312,Appartement,4,13695.652173913044,0.9316091394919752,7,1
2024-1182397,221000.0,20.0,1.0,75003,48.863621,2.353892,Appartement,3,11050.0,1.2148395946494253,7,1
2024-1182398,339500.0,31.0,2.0,75017,48.886492,2.320118,Appartement,17,10951.612903225809,4.31810950753827,4,1
2024-1182402,300000.0,31.0,1.0,75020,48.861805,2.400909,Appartement,20,9677.41935483871,3.850992774557098,2,1
2024-1182407,1000000.0,97.0,6.0,75003,48.861636,2.358298,Appartement,3,10309.278350515464,1.136079454025819,7,1
2024-1182409,708750.0,218.0,6.0,75004,48.855047,2.359738,Appartement,4,3251.146788990826,0.747946602740794,7,1
2024-1182410,750047.6,48.0,2.0,75018,48.883673,2.341892,Appartement,18,15625.991666666669,3.4618568613536165,0,1
2024-1182412,400000.0,48.0,2.0,75019,48.873739,2.375958,Appartement,19,8333.333333333334,2.9872306289761394,8,1
2024-1182414,925000.0,63.0,2.0,75008,48.873682,2.312438,Appartement,8,14682.539682539682,3.583084004414723,4,1
2024-1182415,387000.0,45.0,2.0,75018,48.892084,2.336696,Appartement,18,8600.0,4.453534786163737,4,1
2024-1182416,3060000.0,38.0,1.0,75003,48.865194,2.362461,Appartement,3,80526.31578947368,1.6338656133340077,7,1
2024-1182417,320000.0,32.0,2.0,75019,48.876135,2.381889,Appartement,19,10000.0,3.4725951392784866,8,1
2024-1182418,262000.0,23.0,1.0,75001,48.861296,2.342239,Appartement,1,11391.304347826086,1.0832093979608544,0,1
2024-1182419,193000.0,23.0,1.0,75020,48.8685,2.40112,Appartement,20,8391.304347826086,4.117698807242088,8,1
2024-1182420,595000.0,50.0,3.0,75017,48.888454,2.318186,Appartement,17,11900.0,4.57777879696227,4,1
